3580.052    	-2.11352294517084E-02
3581.470    	-2.04985437110619E-02
3582.889    	-1.98615698202375E-02
3584.308    	-.019225002282465
3585.726    	-1.85896772802483E-02
3587.145    	-1.79551871817467E-02
3588.563    	-1.73230043504029E-02
3589.981    	-1.66933292349921E-02
3591.400    	-1.60664238722079E-02
3592.818    	-1.54439065459124E-02
3594.237    	-1.48256792629113E-02
3595.655    	-1.42133649874434E-02
3597.074    	-1.36068797859441E-02
3598.492    	-1.30078506147369E-02
3599.911    	-1.24161993897938E-02
3601.330    	-1.18331047295716E-02
3602.748    	-1.12596965813308E-02
3604.167    	-1.06958676217895E-02
3605.585    	-1.01430828344015E-02
3607.003    	-9.60157486284362E-03
3608.422    	-9.07156646355158E-03
3609.840    	-8.55435526945343E-03
3611.259    	-8.04972199998207E-03
3612.677    	-7.55883851956724E-03
3614.096    	-7.08141073159832E-03
3615.514    	-6.61844413094008E-03
3616.933    	-6.16955670663812E-03
3618.352    	-5.73528642281607E-03
3619.770    	-5.31606779446189E-03
3621.188    	-4.91167570184554E-03
3622.607    	-4.5218756428427E-03
3624.025    	-4.14720931671675E-03
3625.444    	-3.78710433682695E-03
3626.862    	-3.44198742645146E-03
3628.281    	-3.11125603019314E-03
3629.699    	-2.79522932317142E-03
3631.118    	-2.49328618178407E-03
3632.537    	-2.20544740173651E-03
3633.955    	-1.9316628302549E-03
3635.374    	-1.67128378887688E-03
3636.792    	-1.42440069422287E-03
3638.210    	-1.19053852639404E-03
3639.629    	-9.69244752265779E-04
3641.047    	-7.60515008010831E-04
3642.466    	-5.63725291588755E-04
3643.884    	-3.78814058561803E-04
3645.303    	-2.05173822517897E-04
3646.721    	-4.26975799404136E-05
3648.140    	 1.09198185166556E-04
3649.559    	 2.50750009689727E-04
3650.977    	 3.82223330196604E-04
3652.396    	 5.04160167514846E-04
3653.814    	 6.16749891664021E-04
3655.232    	 7.20449780400016E-04
3656.651    	 8.15698200574199E-04
3658.069    	 9.02739139188955E-04
3659.488    	 9.8207322961982E-04
3660.906    	 1.05396387827036E-03
3662.325    	 1.1188819882633E-03
3663.743    	 1.17709961455787E-03
3665.162    	 1.22906061783984E-03
3666.581    	 1.27508266580039E-03
3667.999    	 1.31549791517508E-03
3669.417    	 1.35069506601842E-03
3670.836    	 1.38103982495747E-03
3672.254    	 1.40682376096588E-03
3673.673    	 1.42840578424003E-03
3675.091    	 1.44606837455284E-03
3676.510    	 1.46014310376708E-03
3677.928    	 1.47091045874237E-03
3679.347    	 1.47867980978007E-03
3680.766    	 1.4837281728254E-03
3682.184    	 1.48632756174735E-03
3683.603    	 1.48674087205433E-03
3685.021    	 1.48521315213136E-03
3686.439    	 1.48197944355741E-03
3687.858    	 1.47726066320604E-03
3689.276    	 1.47127684500658E-03
3690.695    	 1.46421984222497E-03
3692.113    	 1.45628734892692E-03
3693.532    	 1.4476487679533E-03
3694.950    	 1.43849137050045E-03
3696.369    	 1.42897097831518E-03
3697.788    	 1.41925449347916E-03
3699.206    	 1.40950007120157E-03
3700.625    	 1.3998372652868E-03
3702.043    	 1.3904169720094E-03
3703.461    	 1.38136129504119E-03
3704.880    	 1.37278195287629E-03
3706.298    	 1.36479909918855E-03
3707.717    	 1.35750218698009E-03
3709.135    	 1.35099652170579E-03
3710.554    	 1.3453639429873E-03
3711.972    	 1.34069921984068E-03
3713.391    	 1.3370773787221E-03
3714.810    	 1.33457804731662E-03
3716.228    	 1.33327253894188E-03
3717.646    	 1.33322729184941E-03
3719.065    	 1.33451434514159E-03
3720.483    	 1.33720470477937E-03
3721.902    	 1.34137286342648E-03
3723.320    	 1.3470797861619E-03
3724.739    	 1.35439449404731E-03
3726.157    	 1.3633627865776E-03
3727.576    	 1.37405094702705E-03
3728.995    	 1.38650244986568E-03
3730.413    	 1.40074707031779E-03
3731.832    	 1.41683960589303E-03
3733.250    	 1.43479009139474E-03
3734.668    	 1.45464174537432E-03
3736.087    	 1.47644223165298E-03
3737.505    	 1.50019163863511E-03
3738.924    	 1.52595536720665E-03
3740.342    	 1.55373397217692E-03
3741.761    	 1.58361422870309E-03
3743.179    	 1.61561331207054E-03
3744.598    	 1.64984252705704E-03
3746.017    	 1.68634767925626E-03
3747.435    	 1.72516738769941E-03
3748.854    	 1.76642412600416E-03
3750.272    	 1.81013216863712E-03
3751.690    	 .001856396542866
3753.109    	 1.90533042174714E-03
3754.527    	 1.9569423689103E-03
3755.946    	 2.01138392885663E-03
3757.365    	 2.06870014576851E-03
3758.783    	 2.12892818674369E-03
3760.201    	 2.19218481490633E-03
3761.620    	 2.25859325659869E-03
3763.039    	 .002328183773872
3764.457    	 2.40098193660933E-03
3765.875    	 2.47711140836904E-03
3767.294    	 2.5567114245972E-03
3768.712    	 2.63975001398458E-03
3770.131    	 2.72642085936642E-03
3771.549    	 2.81667310358973E-03
3772.968    	 2.91070300097903E-03
3774.386    	 3.00844578717941E-03
3775.805    	 3.11010497233596E-03
3777.223    	 3.21560022091341E-03
3778.642    	 3.32513998448283E-03
3780.061    	 3.43871425245755E-03
3781.479    	 3.55628953418365E-03
3782.897    	 3.67799253993899E-03
3784.316    	 3.80395248195693E-03
3785.734    	 3.93402300697162E-03
3787.153    	 4.06841224704311E-03
3788.571    	 4.20694978435961E-03
3789.990    	 4.34984477881759E-03
3791.408    	 4.49690618068698E-03
3792.827    	 4.64835006030455E-03
3794.246    	 4.80408301190189E-03
3795.664    	 4.9639976949617E-03
3797.083    	 5.12833397587949E-03
3798.501    	 5.29686320846973E-03
3799.919    	 5.46970893097009E-03
