Frecuencia (Hz)	volumen (dB)
780,578613	-84,213318
783,270264	-83,371033
785,961914	-83,061722
788,653564	-83,076012
791,345215	-83,564949
794,036865	-82,183159
796,728516	-83,959724
799,420166	-82,441154
802,111816	-76,501572
804,803467	-82,465355
807,495117	-83,371506
810,186768	-83,561043
812,878418	-85,909966
815,570068	-84,510880
818,261719	-83,778465
820,953369	-83,421326
823,645020	-85,095650
826,336670	-84,386833
829,028320	-82,219772
831,719971	-84,442375
834,411621	-83,634300
837,103271	-83,778572
839,794922	-77,802391
842,486572	-85,226448
845,178223	-83,996346
847,869873	-85,905396
850,561523	-85,549530
853,253174	-85,839653
855,944824	-86,834221
858,636475	-86,859726
861,328125	-86,606064
864,019775	-85,993317
866,711426	-86,452637
869,403076	-87,737038
872,094727	-84,796959
874,786377	-85,366714
877,478027	-84,846016
880,169678	-85,639397
882,861328	-86,205215
885,552979	-86,075272
888,244629	-84,909256
890,936279	-82,176956
893,627930	-81,428932
896,319580	-84,024864
899,011230	-85,122711
901,702881	-85,194839
904,394531	-84,507233
907,086182	-83,952888
909,777832	-82,859955
912,469482	-83,774048
915,161133	-85,733437
917,852783	-85,109970
920,544434	-83,936646
923,236084	-82,324753
925,927734	-86,221268
928,619385	-86,365784
931,311035	-83,405869
934,002686	-84,662338
936,694336	-83,117958
939,385986	-83,878288
942,077637	-82,885551
944,769287	-84,454933
947,460938	-82,960785
950,152588	-84,438118
952,844238	-84,301880
955,535889	-82,992218
958,227539	-83,384140
960,919189	-83,430023
963,610840	-84,682549
966,302490	-85,135178
968,994141	-84,348701
971,685791	-83,348701
974,377441	-83,569221
977,069092	-82,664864
979,760742	-83,248596
982,452393	-83,412819
985,144043	-82,974159
987,835693	-82,597511
990,527344	-82,403053
993,218994	-82,683983
995,910645	-83,709145
998,602295	-81,804794
1001,293945	-82,585449
1003,985596	-83,409904
1006,677246	-82,257309
1009,368896	-82,583321
1012,060547	-83,675819
1014,752197	-83,397446
1017,443848	-83,774323
1020,135498	-82,549820
1022,827148	-84,321632
1025,518799	-83,715958
1028,210449	-84,036644
1030,902100	-83,776352
1033,593750	-83,541573
1036,285400	-85,298027
1038,977051	-85,483406
1041,668701	-85,424782
1044,360352	-83,865044
1047,052002	-85,202881
1049,743652	-86,658279
1052,435303	-85,687073
1055,126953	-86,906113
1057,818604	-87,572632
1060,510254	-85,100311
1063,201904	-86,105896
1065,893555	-87,337097
1068,585205	-88,510551
1071,276855	-87,121254
1073,968506	-87,592300
1076,660156	-89,345650
1079,351807	-87,467133
1082,043457	-88,407631
1084,735107	-87,064079
1087,426758	-88,287735
1090,118408	-88,000671
1092,810059	-87,600883
1095,501709	-80,771370
1098,193359	-87,136703
1100,885010	-88,080589
1103,576660	-87,644768
1106,268311	-86,374443
1108,959961	-86,414398
1111,651611	-88,073845
1114,343262	-87,258774
1117,034912	-87,796021
1119,726563	-86,561600
1122,418213	-87,245445
1125,109863	-86,376060
1127,801514	-86,940353
1130,493164	-86,826004
1133,184814	-87,068390
1135,876465	-87,621109
1138,568115	-88,273170
1141,259766	-87,210114
1143,951416	-88,526436
1146,643066	-88,473289
1149,334717	-86,619736
1152,026367	-84,823830
1154,718018	-84,670410
1157,409668	-86,643974
1160,101318	-85,754440
1162,792969	-88,391121
1165,484619	-87,299614
1168,176270	-86,202019
1170,867920	-84,946915
1173,559570	-86,364090
1176,251221	-86,952560
1178,942871	-88,092400
1181,634521	-84,478600
1184,326172	-86,631584
1187,017822	-86,360558
1189,709473	-86,347130
1192,401123	-85,222618
1195,092773	-84,470383
1197,784424	-84,981125
1200,476074	-84,636131
1203,167725	-83,863815
1205,859375	-83,377274
1208,551025	-85,883034
1211,242676	-86,592262
1213,934326	-88,076004
1216,625977	-87,934006
1219,317627	-86,410370
1222,009277	-85,398643
1224,700928	-84,730949
1227,392578	-84,324348
1230,084229	-87,079292
1232,775879	-86,142578
1235,467529	-87,197273
1238,159180	-86,124985
1240,850830	-85,890320
1243,542480	-86,353859
1246,234131	-86,913780
1248,925781	-87,354385
1251,617432	-86,542091
1254,309082	-86,119576
1257,000732	-86,607407
1259,692383	-87,183144
1262,384033	-87,977669
1265,075684	-86,386948
1267,767334	-87,921295
1270,458984	-88,596886
1273,150635	-87,622009
1275,842285	-86,393753
1278,533936	-87,463615
1281,225586	-86,954681
1283,917236	-87,155975
1286,608887	-89,644531
1289,300537	-87,474648
1291,992188	-88,316399
1294,683838	-87,371025
1297,375488	-89,145683
1300,067139	-88,903297
1302,758789	-89,458313
1305,450439	-87,708992
1308,142090	-89,974983
1310,833740	-87,872993
1313,525391	-88,687096
1316,217041	-88,235725
1318,908691	-83,954468
1321,600342	-85,477264
1324,291992	-88,194099
1326,983643	-88,101387
1329,675293	-86,154175
1332,366943	-88,714706
1335,058594	-87,697578
1337,750244	-88,088425
1340,441895	-87,130623
1343,133545	-89,387550
1345,825195	-89,407494
1348,516846	-90,217934
1351,208496	-89,452415
1353,900146	-87,462570
1356,591797	-87,161713
1359,283447	-87,760712
1361,975098	-88,920219
1364,666748	-90,254921
1367,358398	-90,035118
1370,050049	-88,469154
1372,741699	-88,847488
1375,433350	-90,590599
1378,125000	-88,525558
1380,816650	-88,884308
1383,508301	-86,444351
1386,199951	-88,600929
1388,891602	-89,352783
1391,583252	-91,328110
1394,274902	-92,079964
1396,966553	-90,916161
1399,658203	-90,229942
1402,349854	-90,215843
1405,041504	-90,577293
1407,733154	-90,346161
1410,424805	-90,928093
1413,116455	-90,913101
1415,808105	-91,599060
1418,499756	-92,221748
1421,191406	-91,601082
1423,883057	-91,208427
1426,574707	-90,298813
1429,266357	-89,253578
1431,958008	-89,091652
1434,649658	-90,426216
1437,341309	-89,230675
1440,032959	-86,710068
1442,724609	-84,962486
1445,416260	-89,253708
1448,107910	-90,640289
1450,799561	-90,398521
1453,491211	-91,169632
1456,182861	-91,208885
1458,874512	-92,239761
1461,566162	-90,208397
1464,257813	-91,088570
1466,949463	-91,028687
1469,641113	-90,540413
1472,332764	-91,046700
1475,024414	-90,451950
1477,716064	-91,263885
1480,407715	-90,821365
1483,099365	-90,768593
1485,791016	-90,972343
1488,482666	-90,508057
1491,174316	-90,750877
1493,865967	-91,318398
1496,557617	-90,199165
1499,249268	-89,904335
1501,940918	-90,686470
1504,632568	-90,119278
1507,324219	-88,821808
1510,015869	-89,978516
1512,707520	-90,757362
1515,399170	-89,100815
1518,090820	-89,808670
1520,782471	-89,565231
1523,474121	-91,147820
1526,165771	-91,877083
1528,857422	-90,398994
1531,549072	-90,963554
1534,240723	-90,332436
1536,932373	-89,192490
1539,624023	-90,997963
1542,315674	-91,111588
1545,007324	-90,750259
1547,698975	-90,880325
1550,390625	-91,251640
1553,082275	-90,796234
1555,773926	-87,357643
1558,465576	-85,121613
1561,157227	-86,306404
1563,848877	-90,336220
1566,540527	-90,925049
1569,232178	-90,181076
1571,923828	-90,057205
1574,615479	-90,513474
1577,307129	-90,188538
1579,998779	-90,813126
1582,690430	-90,059830
1585,382080	-89,797455
1588,073730	-90,876343
1590,765381	-91,456848
1593,457031	-91,415398
1596,148682	-91,155373
1598,840332	-90,584877
1601,531982	-91,131897
1604,223633	-89,528564
1606,915283	-90,233658
1609,606934	-88,671822
1612,298584	-89,931900
1614,990234	-91,995071
1617,681885	-90,906433
1620,373535	-91,470856
1623,065186	-91,138939
1625,756836	-91,910812
1628,448486	-92,407272
1631,140137	-90,110817
1633,831787	-91,637016
1636,523438	-90,912155
1639,215088	-89,270874
