Frecuencia (Hz)	volumen (dB)
780,578613	-90,971268
783,270264	-89,266678
785,961914	-91,163513
788,653564	-91,041618
791,345215	-90,015244
794,036865	-89,860352
796,728516	-89,531731
799,420166	-89,264633
802,111816	-91,082314
804,803467	-91,765289
807,495117	-89,457634
810,186768	-90,017189
812,878418	-90,894585
815,570068	-89,290497
818,261719	-89,830498
820,953369	-91,994736
823,645020	-93,104187
826,336670	-91,900085
829,028320	-92,107811
831,719971	-91,834175
834,411621	-92,024757
837,103271	-92,307503
839,794922	-90,964813
842,486572	-93,099792
845,178223	-95,065842
847,869873	-96,003113
850,561523	-95,061707
853,253174	-93,663406
855,944824	-92,573540
858,636475	-94,067802
861,328125	-96,051910
864,019775	-95,021706
866,711426	-94,134697
869,403076	-94,563782
872,094727	-95,380241
874,786377	-94,615517
877,478027	-96,125114
880,169678	-95,994972
882,861328	-94,842087
885,552979	-95,500633
888,244629	-94,344238
890,936279	-93,237724
893,627930	-93,965019
896,319580	-94,527100
899,011230	-94,229118
901,702881	-91,739937
904,394531	-90,669159
907,086182	-90,945221
909,777832	-87,994606
912,469482	-89,765633
915,161133	-90,416336
917,852783	-91,486832
920,544434	-89,074135
923,236084	-91,914963
925,927734	-89,469490
928,619385	-90,769356
931,311035	-89,217133
934,002686	-87,156227
936,694336	-86,474037
939,385986	-88,307442
942,077637	-87,619972
944,769287	-87,570923
947,460938	-87,788162
950,152588	-88,583099
952,844238	-87,294044
955,535889	-86,016449
958,227539	-87,649872
960,919189	-87,797035
963,610840	-88,745224
966,302490	-86,469406
968,994141	-87,666687
971,685791	-86,995407
974,377441	-84,597786
977,069092	-86,326218
979,760742	-85,482056
982,452393	-86,409683
985,144043	-85,432419
987,835693	-86,301567
990,527344	-85,049019
993,218994	-86,753456
995,910645	-84,419891
998,602295	-85,529068
1001,293945	-85,496002
1003,985596	-87,102074
1006,677246	-86,456696
1009,368896	-87,118355
1012,060547	-86,363472
1014,752197	-87,287735
1017,443848	-86,728790
1020,135498	-85,838371
1022,827148	-86,495987
1025,518799	-84,969666
1028,210449	-86,737991
1030,902100	-86,498245
1033,593750	-85,878052
1036,285400	-87,224899
1038,977051	-87,238319
1041,668701	-88,706520
1044,360352	-88,291481
1047,052002	-89,637566
1049,743652	-90,263680
1052,435303	-88,757401
1055,126953	-90,812927
1057,818604	-88,100227
1060,510254	-88,500320
1063,201904	-89,761940
1065,893555	-88,020042
1068,585205	-89,494591
1071,276855	-92,041512
1073,968506	-90,487640
1076,660156	-91,337639
1079,351807	-91,798111
1082,043457	-90,239822
1084,735107	-91,900063
1087,426758	-91,885185
1090,118408	-93,172340
1092,810059	-92,597015
1095,501709	-90,287819
1098,193359	-92,533653
1100,885010	-92,142311
1103,576660	-91,200867
1106,268311	-92,110428
1108,959961	-91,198326
1111,651611	-91,784966
1114,343262	-91,902237
1117,034912	-90,534920
1119,726563	-90,405045
1122,418213	-88,889076
1125,109863	-91,381767
1127,801514	-89,523590
1130,493164	-88,754173
1133,184814	-88,996048
1135,876465	-89,477135
1138,568115	-89,724403
1141,259766	-91,633232
1143,951416	-92,408745
1146,643066	-91,731873
1149,334717	-90,518196
1152,026367	-89,757942
1154,718018	-89,307648
1157,409668	-86,828888
1160,101318	-88,153664
1162,792969	-90,336174
1165,484619	-91,341629
1168,176270	-89,409256
1170,867920	-89,703819
1173,559570	-88,272667
1176,251221	-89,857582
1178,942871	-88,434814
1181,634521	-87,914413
1184,326172	-88,571999
1187,017822	-87,129013
1189,709473	-86,452553
1192,401123	-87,210121
1195,092773	-87,156693
1197,784424	-87,572594
1200,476074	-87,654137
1203,167725	-88,463120
1205,859375	-85,805954
1208,551025	-85,777786
1211,242676	-86,885605
1213,934326	-86,979362
1216,625977	-86,280579
1219,317627	-88,127289
1222,009277	-88,807373
1224,700928	-86,189461
1227,392578	-85,115944
1230,084229	-87,175491
1232,775879	-87,319092
1235,467529	-87,367332
1238,159180	-86,195419
1240,850830	-85,908623
1243,542480	-86,979660
1246,234131	-88,181488
1248,925781	-88,166756
1251,617432	-88,684113
1254,309082	-89,590851
1257,000732	-89,831772
1259,692383	-90,942482
1262,384033	-90,385315
1265,075684	-90,255989
1267,767334	-89,250526
1270,458984	-90,460144
1273,150635	-89,233543
1275,842285	-90,630226
1278,533936	-89,891800
1281,225586	-92,048676
1283,917236	-92,204559
1286,608887	-91,784836
1289,300537	-91,613907
1291,992188	-92,527290
1294,683838	-91,786903
1297,375488	-91,114700
1300,067139	-90,959351
1302,758789	-89,845139
1305,450439	-91,865631
1308,142090	-92,393600
1310,833740	-91,156517
1313,525391	-90,475433
1316,217041	-92,023064
1318,908691	-91,270065
1321,600342	-90,107101
1324,291992	-91,834778
1326,983643	-90,013412
1329,675293	-91,198479
1332,366943	-92,176682
1335,058594	-92,304031
1337,750244	-91,095390
1340,441895	-91,472725
1343,133545	-90,703728
1345,825195	-91,479347
1348,516846	-92,931595
1351,208496	-93,012985
1353,900146	-92,799255
1356,591797	-91,426796
1359,283447	-92,907631
1361,975098	-92,496826
1364,666748	-91,554504
1367,358398	-93,393463
1370,050049	-92,016136
1372,741699	-93,791939
1375,433350	-92,646767
1378,125000	-92,788033
1380,816650	-94,003616
1383,508301	-94,825043
1386,199951	-93,231041
1388,891602	-94,546417
1391,583252	-96,802872
1394,274902	-94,169022
1396,966553	-95,445290
1399,658203	-94,801384
1402,349854	-95,393562
1405,041504	-95,160370
1407,733154	-96,029778
1410,424805	-94,796173
1413,116455	-94,605217
1415,808105	-96,305443
1418,499756	-94,509750
1421,191406	-95,610451
1423,883057	-95,175117
1426,574707	-92,990341
1429,266357	-93,510002
1431,958008	-93,708298
1434,649658	-93,227005
1437,341309	-93,009056
1440,032959	-93,002678
1442,724609	-94,426170
1445,416260	-95,424904
1448,107910	-94,065735
1450,799561	-94,714928
1453,491211	-93,780685
1456,182861	-93,931000
1458,874512	-94,341133
1461,566162	-93,952850
1464,257813	-94,316017
1466,949463	-92,818100
1469,641113	-93,121017
1472,332764	-95,927559
1475,024414	-95,006081
1477,716064	-93,210907
1480,407715	-93,725052
1483,099365	-93,180908
1485,791016	-93,443657
1488,482666	-93,243668
1491,174316	-93,494499
1493,865967	-94,671341
1496,557617	-92,825394
1499,249268	-92,193176
1501,940918	-94,293320
1504,632568	-95,760956
1507,324219	-94,425629
1510,015869	-94,742264
1512,707520	-93,449059
1515,399170	-93,047211
1518,090820	-92,824165
1520,782471	-91,798874
1523,474121	-91,371895
